href,title,path,region,sub_region,type,crs,base_year,year_range,cellsize_cm,gsd,s3,https,collection_id,collection_title,collection_description,license,links_count
./hawkes-bay/hawkes-bay_2019-2020_0.3m/rgbnir/2193/collection.json,Hawke's Bay 0.3m Near-Infrared Aerial Photos (2019-2020),hawkes-bay/hawkes-bay_2019-2020_0.3m,hawkes bay,hawkes bay,rgbnir,2193,2019,2019-2020,30.0,0.3m,s3://nz-imagery/hawkes-bay/hawkes-bay_2019-2020_0.3m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/hawkes-bay/hawkes-bay_2019-2020_0.3m/rgbnir/2193/,01KJRAZR2YR7ABFKQ13C6FT4VM,Hawke's Bay 0.3m Near-Infrared Aerial Photos (2019-2020),Near-infrared orthophotography within the Hawke's Bay region captured in the 2019-2020 flying season.,CC-BY-4.0,593
./hawkes-bay/hawkes-bay_2014-2015_0.3m/rgbnir/2193/collection.json,Hawke's Bay 0.3m Near-Infrared Aerial Photos (2014-2015),hawkes-bay/hawkes-bay_2014-2015_0.3m,hawkes bay,hawkes bay,rgbnir,2193,2014,2014-2015,30.0,0.3m,s3://nz-imagery/hawkes-bay/hawkes-bay_2014-2015_0.3m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/hawkes-bay/hawkes-bay_2014-2015_0.3m/rgbnir/2193/,01KNJV2Q4HE4K0DZSY20FMTZ9K,Hawke's Bay 0.3m Near-Infrared Aerial Photos (2014-2015),Near-infrared orthophotography within the Hawke's Bay region captured in the 2014-2015 flying season.,CC-BY-4.0,547
./hawkes-bay/hawkes-bay-coast_2024_0.1m/rgbnir/2193/collection.json,Hawke's Bay Coast 0.1m Near-Infrared Aerial Photos (2024),hawkes-bay/hawkes-bay-coast_2024_0.1m,hawkes bay,hawkes bay coast,rgbnir,2193,2024,2024,10.0,0.1m,s3://nz-imagery/hawkes-bay/hawkes-bay-coast_2024_0.1m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/hawkes-bay/hawkes-bay-coast_2024_0.1m/rgbnir/2193/,01KMXXTXYD16Q8NP1F195603G8,Hawke's Bay Coast 0.1m Near-Infrared Aerial Photos (2024),Near-infrared orthophotography within the Hawke's Bay region captured in the 2024 flying season.,CC-BY-4.0,184
./wellington/upper-hutt_2025_0.075m/rgbnir/2193/collection.json,Upper Hutt 0.075m Near-Infrared Aerial Photos (2025),wellington/upper-hutt_2025_0.075m,wellington,upper hutt,rgbnir,2193,2025,2025,7.5,0.075m,s3://nz-imagery/wellington/upper-hutt_2025_0.075m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/wellington/upper-hutt_2025_0.075m/rgbnir/2193/,01KG39HFJ71Y7ETH084HJX1T2Q,Upper Hutt 0.075m Near-Infrared Aerial Photos (2025),Near-infrared orthophotography within the Wellington region captured in the 2025 flying season.,CC-BY-4.0,313
./gisborne/gisborne_2024-2025_0.2m/rgbnir/2193/collection.json,Gisborne 0.2m Near-Infrared Aerial Photos (2024-2025),gisborne/gisborne_2024-2025_0.2m,gisborne,gisborne,rgbnir,2193,2024,2024-2025,20.0,0.2m,s3://nz-imagery/gisborne/gisborne_2024-2025_0.2m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/gisborne/gisborne_2024-2025_0.2m/rgbnir/2193/,01KM4ENX5FCPW706W5QHTKN64C,Gisborne 0.2m Near-Infrared Aerial Photos (2024-2025),Near-infrared orthophotography within the Gisborne region captured in the 2024-2025 flying season.,CC-BY-4.0,355
./gisborne/gisborne_2024-2025_0.1m/rgbnir/2193/collection.json,Gisborne 0.1m Near-Infrared Aerial Photos (2024-2025),gisborne/gisborne_2024-2025_0.1m,gisborne,gisborne,rgbnir,2193,2024,2024-2025,10.0,0.1m,s3://nz-imagery/gisborne/gisborne_2024-2025_0.1m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/gisborne/gisborne_2024-2025_0.1m/rgbnir/2193/,01KM4VTFE9W3B4TMHREQRT4BH0,Gisborne 0.1m Near-Infrared Aerial Photos (2024-2025),Near-infrared orthophotography within the Gisborne region captured in the 2024-2025 flying season.,CC-BY-4.0,802
./gisborne/gisborne_2023-2024_0.2m/rgbnir/2193/collection.json,Gisborne 0.2m Near-Infrared Aerial Photos (2023-2024),gisborne/gisborne_2023-2024_0.2m,gisborne,gisborne,rgbnir,2193,2023,2023-2024,20.0,0.2m,s3://nz-imagery/gisborne/gisborne_2023-2024_0.2m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/gisborne/gisborne_2023-2024_0.2m/rgbnir/2193/,01KJEEX288JPEBG8F97835HDFZ,Gisborne 0.2m Near-Infrared Aerial Photos (2023-2024),Near-infrared orthophotography within the Gisborne region captured in the 2023-2024 flying season.,CC-BY-4.0,1137
./gisborne/gisborne_2023-2024_0.1m/rgbnir/2193/collection.json,Gisborne 0.1m Near-Infrared Aerial Photos (2023-2024),gisborne/gisborne_2023-2024_0.1m,gisborne,gisborne,rgbnir,2193,2023,2023-2024,10.0,0.1m,s3://nz-imagery/gisborne/gisborne_2023-2024_0.1m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/gisborne/gisborne_2023-2024_0.1m/rgbnir/2193/,01KJNH93C2H2KC61W2HE9KSE09,Gisborne 0.1m Near-Infrared Aerial Photos (2023-2024),Near-infrared orthophotography within the Gisborne region captured in the 2023-2024 flying season.,CC-BY-4.0,1106
./wellington/wellington_2016-2017_0.3m/rgbnir/2193/collection.json,Wellington 0.3m Near-Infrared Aerial Photos (2016-2017),wellington/wellington_2016-2017_0.3m,wellington,wellington,rgbnir,2193,2016,2016-2017,30.0,0.3m,s3://nz-imagery/wellington/wellington_2016-2017_0.3m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/wellington/wellington_2016-2017_0.3m/rgbnir/2193/,01KMH74WJS05N16P694YY6VF0V,Wellington 0.3m Near-Infrared Aerial Photos (2016-2017),Near-infrared orthophotography within the Wellington region captured in the 2016-2017 flying season.,CC-BY-4.0,295
./gisborne/gisborne_2021-2023_0.2m/rgbnir/2193/collection.json,Gisborne 0.2m Near-Infrared Aerial Photos (2021-2023),gisborne/gisborne_2021-2023_0.2m,gisborne,gisborne,rgbnir,2193,2021,2021-2023,20.0,0.2m,s3://nz-imagery/gisborne/gisborne_2021-2023_0.2m/rgbnir/2193/,https://nz-imagery.s3.ap-southeast-2.amazonaws.com/gisborne/gisborne_2021-2023_0.2m/rgbnir/2193/,01KNTBABEMP4TMVEE2N9YCFSV1,Gisborne 0.2m Near-Infrared Aerial Photos (2021-2023),Near-infrared orthophotography within the Gisborne region captured in the 2021-2023 flying season.,CC-BY-4.0,934
